Word,Valence,ValenceCategory,Arousal,ArousalCategory,CategoryIndex
reason,0.3174999999999999,M,-0.4175,L,3
reasonable,0.45999999999999996,H,-0.5,L,6
reasoning,0.3125,M,0.16999999999999993,H,5
reassign,-0.0625,L,-0.3325,M,1
reassignment,-0.1625000000000001,L,-0.4375,L,0
reassurance,0.26249999999999996,M,-0.36250000000000004,L,3
reassure,0.38749999999999996,H,-0.32499999999999996,M,7
rebel,-0.15749999999999997,L,0.07250000000000001,H,2
rebellion,-0.05249999999999999,L,0.022499999999999964,H,2
rebellious,-0.27749999999999997,L,0.36250000000000004,H,2
rebirth,0.32499999999999996,M,-0.1200000000000001,H,5
reboot,0.09499999999999997,L,0.02499999999999991,H,2
reborn,0.14749999999999996,M,-0.02750000000000008,H,5
rebound,0.022499999999999964,L,-0.08250000000000002,H,2
rebuild,0.345,H,-0.14250000000000007,H,8
rebuttal,-0.14500000000000002,L,-0.10000000000000009,H,2
recall,-0.05750000000000011,L,-0.1299999999999999,H,2
recant,-0.27749999999999997,L,-0.125,H,2
recap,0.08250000000000002,L,-0.43500000000000005,L,0
recapture,-0.02499999999999991,L,0.08000000000000007,H,2
receipt,0.10250000000000004,L,-0.125,H,2
receive,0.5349999999999999,H,-0.17500000000000004,M,7
receiver,-0.02499999999999991,L,-0.27749999999999997,M,1
recent,0.10499999999999998,L,-0.29500000000000004,M,1
receptacle,0.06000000000000005,L,-0.475,L,0
reception,0.25,M,-0.23750000000000004,M,4
receptionist,0.09250000000000003,L,-0.47750000000000004,L,0
receptive,0.33000000000000007,M,-0.275,M,4
receptor,0.15749999999999997,M,-0.41000000000000003,L,3
recess,0.39250000000000007,H,-0.2124999999999999,M,7
recession,-0.58,L,-0.07499999999999996,H,2
recharge,0.33000000000000007,M,-0.0475000000000001,H,5
recheck,-0.012499999999999956,L,-0.012499999999999956,H,2
recipe,0.4624999999999999,H,-0.13749999999999996,H,8
recipient,0.16999999999999993,M,0.13250000000000006,H,5
reciprocal,-0.012499999999999956,L,-0.43000000000000005,L,0
reciprocate,0.3999999999999999,H,-0.3225,M,7
recital,-0.07499999999999996,L,-0.19999999999999996,M,1
recitation,-0.11250000000000004,L,-0.4175,L,0
recite,0.11250000000000004,M,-0.4275,L,3
reckless,-0.47750000000000004,L,0.04499999999999993,H,2
reckon,0.0625,L,-0.535,L,0
reckoning,-0.02499999999999991,L,0.05499999999999994,H,2
reclaim,0.13749999999999996,M,-0.1200000000000001,H,5
reclining,0.4175,H,-0.655,L,6
recluse,-0.3225,L,-0.48750000000000004,L,0
recognition,0.41999999999999993,H,-0.13749999999999996,H,8
recognizable,0.33000000000000007,M,-0.10250000000000004,H,5
recognize,0.2849999999999999,M,-0.19999999999999996,M,4
recoil,-0.050000000000000044,L,-0.09250000000000003,H,2
recollect,0.012499999999999956,L,-0.48750000000000004,L,0
recollection,0.07250000000000001,L,-0.36250000000000004,L,0
recommend,0.3799999999999999,H,-0.3225,M,7
recommendation,0.2749999999999999,M,-0.5,L,3
recon,-0.08000000000000007,L,-0.07250000000000001,H,2
reconcile,0.45999999999999996,H,-0.25,M,7
reconciliation,0.11749999999999994,M,-0.23750000000000004,M,4
reconfigure,-0.03750000000000009,L,-0.37,L,0
reconnaissance,0.1299999999999999,M,-0.1975,M,4
reconnect,0.3425,H,-0.23750000000000004,M,7
reconsider,0.18500000000000005,M,-0.36250000000000004,L,3
reconstruct,0.17500000000000004,M,-0.26249999999999996,M,4
reconstruction,-0.05249999999999999,L,-0.03499999999999992,H,2
reconstructive,0.012499999999999956,L,-0.0674999999999999,H,2
reconvene,-0.012499999999999956,L,-0.23750000000000004,M,1
record,0.22249999999999992,M,-0.42500000000000004,L,3
recorder,0.13250000000000006,M,-0.42000000000000004,L,3
recording,0.05499999999999994,L,-0.36750000000000005,L,0
recount,-0.02750000000000008,L,-0.2250000000000001,M,1
recourse,0.09499999999999997,L,-0.2124999999999999,M,1
recover,0.3500000000000001,H,-0.14500000000000002,H,8
recovery,0.35749999999999993,H,-0.21999999999999997,M,7
recreate,0.25,M,-0.3375,L,3
recreation,0.42500000000000004,H,-0.16749999999999998,M,7
